,Make,Model,Year,FuelType,EngineHP,EngineCylinders,Transmission,Drive,NumberOfDoors,MarketCategory,Size,Style,highwaympg,citympg,Popularity,MSRP
1149,Toyota,Tundra,2017,flex-fuel (unleaded/E85),381,8,AUTOMATIC,four wheel drive,4,Flex Fuel,Large,Crew Cab Pickup,17,13,2031,50030
1150,Cadillac,Escalade,2017,premium unleaded (recommended),420,8,AUTOMATIC,four wheel drive,4,"Luxury,Performance",Large,4dr SUV,20,15,1624,94795
1152,Infiniti,Q70,2016,premium unleaded (required),330,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Large,Sedan,24,18,190,53500
1153,BMW,4 Series,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,2,Luxury,Midsize,Coupe,33,22,3916,42750
1154,BMW,X5 M,2015,premium unleaded (required),567,8,AUTOMATIC,all wheel drive,4,"Crossover,Factory Tuner,Luxury,High-Performance",Midsize,4dr SUV,19,14,3916,98700
1155,Ford,Taurus,2016,flex-fuel (unleaded/E85),288,6,AUTOMATIC,front wheel drive,4,"Flex Fuel,Performance",Large,Sedan,27,18,5657,29540
1156,Hyundai,Tiburon,2008,regular unleaded,172,6,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,24,17,1439,22770
1159,Toyota,Land Cruiser,2016,regular unleaded,381,8,AUTOMATIC,four wheel drive,4,Luxury,Midsize,4dr SUV,18,13,2031,83825
1161,Buick,Lucerne,2011,flex-fuel (unleaded/E85),227,6,AUTOMATIC,front wheel drive,4,Flex Fuel,Large,Sedan,27,17,155,33130
1162,Porsche,Carrera GT,2005,premium unleaded (required),605,10,MANUAL,rear wheel drive,2,"Exotic,Luxury,High-Performance",Compact,Convertible,15,9,1715,440000
1163,Mitsubishi,Eclipse,2011,premium unleaded (recommended),265,6,AUTOMATIC,front wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,25,17,436,29089
1164,Mazda,CX-9,2014,regular unleaded,273,6,AUTOMATIC,all wheel drive,4,Crossover,Large,4dr SUV,22,16,586,34070
1166,Chevrolet,Corvette,2016,premium unleaded (recommended),460,8,MANUAL,rear wheel drive,2,High-Performance,Compact,Convertible,29,17,1385,74145
1169,Land Rover,Discovery,2003,premium unleaded (required),217,8,AUTOMATIC,four wheel drive,4,Luxury,Midsize,4dr SUV,14,11,258,38350
1170,McLaren,650S Spider,2015,premium unleaded (required),641,8,AUTOMATED_MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Convertible,22,16,416,280225
1171,Infiniti,QX60,2016,premium unleaded (recommended),265,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Large,4dr SUV,26,19,190,44400
1172,Lexus,IS 350 C,2014,premium unleaded (required),306,6,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Compact,Convertible,27,19,454,47140
1173,Dodge,Challenger,2016,premium unleaded (recommended),485,8,MANUAL,rear wheel drive,2,"Factory Tuner,High-Performance",Large,Coupe,23,14,1851,37995
1175,Mitsubishi,Lancer Sportback,2012,regular unleaded,168,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,29,22,436,21345
1176,Ferrari,575M,2003,premium unleaded (required),515,12,AUTOMATED_MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,16,9,2774,228339
1178,Volkswagen,Beetle,2016,regular unleaded,170,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,34,24,873,21350
1179,GMC,Terrain,2017,regular unleaded,182,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,28,20,549,32670
1180,Dodge,Avenger,2014,regular unleaded,173,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,29,21,1851,20595
1181,Chevrolet,Traverse,2015,regular unleaded,281,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,23,16,1385,38295
1183,Bentley,Mulsanne,2014,premium unleaded (required),505,8,AUTOMATIC,rear wheel drive,4,"Exotic,Luxury,High-Performance",Large,Sedan,18,11,520,298900
1184,Volvo,780,1990,regular unleaded,144,6,AUTOMATIC,rear wheel drive,2,Luxury,Midsize,Coupe,19,15,870,2000
1185,Nissan,Altima Hybrid,2009,regular unleaded,198,4,AUTOMATIC,front wheel drive,4,Hybrid,Midsize,Sedan,33,35,2009,26650
1186,Volvo,S70,1998,regular unleaded,168,5,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,27,17,870,2000
1188,Toyota,Yaris,2016,regular unleaded,106,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,36,30,2031,17670
1189,Kia,Cadenza,2016,regular unleaded,293,6,AUTOMATIC,front wheel drive,4,Performance,Midsize,Sedan,28,19,1720,44090
1193,FIAT,500,2015,premium unleaded (recommended),160,4,MANUAL,front wheel drive,2,"Factory Tuner,Performance",Compact,Convertible,34,28,819,26595
1194,GMC,Sonoma,2003,flex-fuel (unleaded/E85),120,4,MANUAL,rear wheel drive,3,Flex Fuel,Compact,Extended Cab Pickup,25,19,549,16570
1195,Ford,Escape,2016,premium unleaded (recommended),178,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,29,22,5657,31745
1196,Chevrolet,Corvette,2017,premium unleaded (recommended),460,8,MANUAL,rear wheel drive,2,High-Performance,Compact,Convertible,25,16,1385,74195
1198,Honda,Element,2009,regular unleaded,166,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,24,19,2202,21475
1199,Infiniti,M,2013,premium unleaded (recommended),360,6,AUTOMATIC,rear wheel drive,4,"Luxury,Hybrid",Large,Sedan,32,27,190,54750
1200,BMW,Z4,2016,premium unleaded (required),335,6,AUTOMATED_MANUAL,rear wheel drive,2,"Luxury,High-Performance",Compact,Convertible,24,17,3916,66350
1202,Volkswagen,Jetta GLI,2014,premium unleaded (recommended),210,4,AUTOMATED_MANUAL,front wheel drive,4,Performance,Midsize,Sedan,32,24,873,29955
1203,Hyundai,Azera,2017,regular unleaded,293,6,AUTOMATIC,front wheel drive,4,Performance,Midsize,Sedan,28,19,1439,39300
1204,Mazda,3,2015,regular unleaded,155,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,40,30,586,24295
1205,Infiniti,Q50,2016,premium unleaded (required),400,6,AUTOMATIC,rear wheel drive,4,"Factory Tuner,Luxury,High-Performance",Midsize,Sedan,26,20,190,47950
1206,Mercedes-Benz,CLK-Class,2008,premium unleaded (required),382,8,AUTOMATIC,rear wheel drive,2,"Luxury,High-Performance",Compact,Convertible,21,15,617,63200
1207,Nissan,Titan,2014,regular unleaded,317,8,AUTOMATIC,four wheel drive,4,Flex Fuel,Large,Extended Cab Pickup,17,12,2009,32210
1208,Chrysler,Sebring,2009,flex-fuel (unleaded/E85),186,6,AUTOMATIC,front wheel drive,2,Flex Fuel,Midsize,Convertible,26,18,1013,30270
1209,Nissan,Versa Note,2015,regular unleaded,109,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,40,31,2009,18660
1211,Audi,200,1991,regular unleaded,162,5,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,20,16,3105,2000
1213,Volvo,XC70,2015,regular unleaded,300,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,Wagon,24,17,870,41800
1216,Subaru,Forester,2015,regular unleaded,170,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,32,24,640,30095
1218,Ford,Contour SVT,1998,regular unleaded,195,6,MANUAL,front wheel drive,4,"Factory Tuner,Performance",Midsize,Sedan,26,17,5657,2655
1219,Volkswagen,Beetle,2017,regular unleaded,170,4,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,33,24,873,19995
1220,Mercedes-Benz,S-Class,2015,premium unleaded (required),523,12,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Large,Sedan,21,12,617,166900
1221,Volkswagen,GTI,2012,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,33,24,873,27375
1223,Honda,Pilot,2016,regular unleaded,280,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,26,18,2202,34380
1224,BMW,4 Series,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,2,Luxury,Midsize,Convertible,33,21,3916,50750
1226,Ford,E-Series Wagon,2013,flex-fuel (unleaded/E85),255,8,AUTOMATIC,rear wheel drive,3,Flex Fuel,Midsize,Passenger Van,15,11,5657,32785
1227,Volkswagen,Beetle Convertible,2015,diesel,150,4,AUTOMATED_MANUAL,front wheel drive,2,Diesel,Compact,Convertible,40,30,873,30195
1231,Honda,CR-V,2016,regular unleaded,185,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,33,26,2202,32095
1232,Chevrolet,Uplander,2008,regular unleaded,240,6,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Passenger Minivan,23,16,1385,29330
1234,Mitsubishi,Outlander Sport,2015,regular unleaded,168,4,AUTOMATIC,four wheel drive,4,Crossover,Compact,4dr SUV,26,23,436,22695
1236,Suzuki,Grand Vitara,2012,regular unleaded,166,4,AUTOMATIC,four wheel drive,4,Crossover,Compact,4dr SUV,23,19,481,23949
1238,Mercedes-Benz,E-Class,2015,premium unleaded (required),329,6,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Midsize,Coupe,29,20,617,53350
1239,Volkswagen,Jetta SportWagen,2014,diesel,140,4,AUTOMATED_MANUAL,front wheel drive,4,Diesel,Compact,Wagon,39,29,873,29465
1240,HUMMER,H3,2010,regular unleaded,239,5,MANUAL,four wheel drive,4,"Flex Fuel,Luxury",Midsize,4dr SUV,18,14,130,35960
1242,Volkswagen,GTI,2013,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,33,24,873,30795
1243,GMC,Yukon XL,2017,flex-fuel (unleaded/E85),355,8,AUTOMATIC,four wheel drive,4,"Flex Fuel,Performance",Large,4dr SUV,22,15,549,54230
1248,Volvo,740,1990,regular unleaded,114,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Wagon,26,19,870,2000
1249,BMW,1 Series M,2011,premium unleaded (required),335,6,MANUAL,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,26,19,3916,46135
1252,Ford,Explorer,2017,flex-fuel (unleaded/E85),290,6,AUTOMATIC,all wheel drive,4,"Crossover,Flex Fuel",Midsize,4dr SUV,23,16,5657,35775
1254,Mitsubishi,Expo,1993,regular unleaded,136,4,MANUAL,four wheel drive,2,Hatchback,Compact,2dr Hatchback,22,17,436,2000
1256,Aston Martin,V8 Vantage,2014,premium unleaded (required),430,8,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Convertible,19,13,259,145200
1257,Chevrolet,HHR,2010,flex-fuel (unleaded/E85),155,4,MANUAL,front wheel drive,4,Flex Fuel,Compact,Wagon,32,22,1385,18720
1258,Lexus,RX 350,2015,regular unleaded,270,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,26,18,454,50220
1261,Lincoln,MKZ,2017,premium unleaded (recommended),245,4,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,31,21,61,39510
1262,Volkswagen,Jetta Hybrid,2014,premium unleaded (required),170,4,AUTOMATED_MANUAL,front wheel drive,4,Hybrid,Midsize,Sedan,48,42,873,27645
1263,Hyundai,Tucson,2016,regular unleaded,175,4,AUTOMATED_MANUAL,front wheel drive,4,Crossover,Compact,4dr SUV,33,26,1439,24150
1264,Subaru,Outback,2015,regular unleaded,175,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,33,25,640,30295
1265,Mazda,B-Series Pickup,2000,flex-fuel (unleaded/E85),143,6,MANUAL,four wheel drive,4,Flex Fuel,Compact,Extended Cab Pickup,20,15,586,3394
1267,Nissan,Maxima,2017,premium unleaded (recommended),300,6,AUTOMATIC,front wheel drive,4,High-Performance,Midsize,Sedan,30,21,2009,37090
1268,Lincoln,MKX,2016,regular unleaded,303,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,26,17,61,45315
1270,Scion,xD,2012,regular unleaded,128,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,33,27,105,17050
1271,Lexus,GX 460,2015,premium unleaded (required),301,8,AUTOMATIC,four wheel drive,4,Luxury,Midsize,4dr SUV,20,15,454,61115
1273,Land Rover,LR2,2015,premium unleaded (recommended),240,4,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Compact,4dr SUV,24,17,258,41700
1275,Lincoln,Town Car,2009,flex-fuel (unleaded/E85),239,8,AUTOMATIC,rear wheel drive,4,"Flex Fuel,Luxury",Large,Sedan,24,16,61,52055
1276,Chevrolet,Impala Limited,2015,flex-fuel (unleaded/E85),300,6,AUTOMATIC,front wheel drive,4,Flex Fuel,Large,Sedan,30,18,1385,26840
1278,Buick,Reatta,1991,regular unleaded,170,6,AUTOMATIC,front wheel drive,2,Luxury,Compact,Convertible,25,16,155,2000
1279,Cadillac,CTS,2016,premium unleaded (required),420,6,AUTOMATIC,rear wheel drive,4,"Factory Tuner,Luxury,High-Performance",Large,Sedan,24,16,1624,69955
1281,Saab,5-Sep,2011,premium unleaded (recommended),220,4,MANUAL,front wheel drive,4,Luxury,Large,Sedan,33,20,376,38525
1282,Plymouth,Laser,1994,regular unleaded,135,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,26,19,535,2000
1283,BMW,X3,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,28,21,3916,40950
1284,Audi,100,1992,regular unleaded,172,6,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,24,17,3105,2000
1285,GMC,Terrain,2017,regular unleaded,182,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,31,21,549,27300
1286,Subaru,Crosstrek,2016,regular unleaded,160,4,AUTOMATIC,all wheel drive,4,"Crossover,Hybrid",Compact,4dr SUV,34,30,640,29995
1287,Maserati,Spyder,2003,premium unleaded (required),390,8,MANUAL,rear wheel drive,2,"Exotic,Luxury,High-Performance",Compact,Convertible,15,10,238,85542
1288,Hyundai,Santa Fe,2017,regular unleaded,290,6,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,23,17,1439,34950
1289,GMC,Savana,2014,flex-fuel (unleaded/E85),280,8,AUTOMATIC,rear wheel drive,3,Flex Fuel,Midsize,Passenger Van,17,11,549,34160
1290,Hyundai,Veloster,2015,regular unleaded,132,4,AUTOMATED_MANUAL,front wheel drive,3,Hatchback,Compact,2dr Hatchback,36,27,1439,21950
1291,Infiniti,QX,2013,premium unleaded (recommended),400,8,AUTOMATIC,rear wheel drive,4,Luxury,Large,4dr SUV,20,14,190,61350
1292,Chevrolet,Silverado 1500,2016,flex-fuel (unleaded/E85),285,6,AUTOMATIC,four wheel drive,2,Flex Fuel,Large,Regular Cab Pickup,22,17,1385,36680
1295,Volkswagen,CC,2016,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,4,Performance,Midsize,Sedan,31,22,873,34475
1296,Volvo,850,1997,regular unleaded,190,5,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Midsize,Wagon,24,18,870,2000
1297,Buick,Encore,2016,regular unleaded,138,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,30,23,155,25565
1298,Mazda,CX-5,2014,regular unleaded,184,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,30,24,586,29070
1302,Honda,Pilot,2017,regular unleaded,280,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,26,18,2202,39255
1303,HUMMER,H3,2008,regular unleaded,242,5,MANUAL,four wheel drive,4,Luxury,Midsize,4dr SUV,18,13,130,39290
1305,Lamborghini,Gallardo,2013,premium unleaded (required),550,10,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,20,12,1158,191900
1306,Kia,Forte,2016,regular unleaded,201,4,MANUAL,front wheel drive,2,Performance,Compact,Coupe,29,22,1720,20690
1307,Ford,Shelby GT500,2014,premium unleaded (required),662,8,MANUAL,rear wheel drive,2,"Factory Tuner,High-Performance",Midsize,Convertible,24,15,5657,60110
1308,Hyundai,Tucson,2017,regular unleaded,164,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,26,21,1439,24100
1309,Lexus,RX 350,2015,regular unleaded,270,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,25,18,454,40970
1311,Ferrari,612 Scaglietti,2010,premium unleaded (required),532,12,AUTOMATED_MANUAL,rear wheel drive,2,"Exotic,High-Performance",Large,Coupe,16,9,2774,313088
1312,Subaru,Crosstrek,2016,regular unleaded,160,4,AUTOMATIC,all wheel drive,4,"Crossover,Hybrid",Compact,4dr SUV,34,30,640,26395
1314,Maserati,GranTurismo,2015,premium unleaded (required),454,8,AUTOMATIC,rear wheel drive,2,"Exotic,Luxury,High-Performance",Large,Coupe,21,13,238,132825
1320,Volkswagen,GTI,2013,premium unleaded (recommended),200,4,MANUAL,front wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,31,21,873,26795
1321,Infiniti,EX35,2008,premium unleaded (recommended),297,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,23,16,190,33300
1322,BMW,8 Series,1995,regular unleaded,372,12,MANUAL,rear wheel drive,2,"Factory Tuner,Luxury,Performance",Midsize,Coupe,18,10,3916,8488
1323,Acura,MDX,2015,premium unleaded (recommended),290,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,28,20,204,48840
1324,Mercedes-Benz,GLA-Class,2016,premium unleaded (required),208,4,AUTOMATED_MANUAL,all wheel drive,4,"Crossover,Luxury",Compact,4dr SUV,32,24,617,34500
1325,Ford,F-150,2015,flex-fuel (unleaded/E85),282,6,AUTOMATIC,rear wheel drive,4,Flex Fuel,Large,Crew Cab Pickup,25,18,5657,32545
1332,Ford,F-150,2016,flex-fuel (unleaded/E85),282,6,AUTOMATIC,rear wheel drive,2,Flex Fuel,Large,Regular Cab Pickup,25,18,5657,26540
1336,Chevrolet,Silverado 1500,2017,flex-fuel (unleaded/E85),285,6,AUTOMATIC,rear wheel drive,4,Flex Fuel,Large,Crew Cab Pickup,24,18,1385,37835
1341,Honda,Crosstour,2013,regular unleaded,192,4,AUTOMATIC,front wheel drive,4,"Crossover,Hatchback",Midsize,4dr Hatchback,31,22,2202,33015
1342,Porsche,Panamera,2016,premium unleaded (required),310,6,AUTOMATED_MANUAL,all wheel drive,4,"Luxury,Performance",Large,Sedan,27,18,1715,84300
1343,Chevrolet,Express,2015,flex-fuel (unleaded/E85),285,8,AUTOMATIC,rear wheel drive,3,Flex Fuel,Large,Passenger Van,17,11,1385,36700
1344,Toyota,Prius v,2016,regular unleaded,134,4,AUTOMATIC,front wheel drive,4,Hybrid,Midsize,Wagon,40,44,2031,30935
1346,Audi,A3,2016,diesel,150,4,AUTOMATED_MANUAL,front wheel drive,4,"Diesel,Luxury",Compact,Sedan,43,31,3105,35900
1350,Mercedes-Benz,300-Class,1991,regular unleaded,217,6,AUTOMATIC,rear wheel drive,2,Luxury,Midsize,Coupe,22,15,617,2179
1351,Suzuki,Grand Vitara,2011,regular unleaded,166,4,AUTOMATIC,rear wheel drive,4,Crossover,Compact,4dr SUV,25,19,481,21099
1352,Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,18,15,617,2199
1354,Subaru,SVX,1997,regular unleaded,230,6,AUTOMATIC,all wheel drive,2,Performance,Compact,Coupe,22,15,640,2749
1355,Ford,Escape Hybrid,2011,regular unleaded,177,4,AUTOMATIC,all wheel drive,4,"Crossover,Hybrid",Compact,4dr SUV,27,30,5657,34830
1357,Honda,Accord,2017,regular unleaded,278,6,AUTOMATIC,front wheel drive,2,Performance,Midsize,Coupe,32,21,2202,33175
1358,Dodge,Ram Pickup 1500,2009,regular unleaded,210,6,AUTOMATIC,rear wheel drive,2,Flex Fuel,Large,Regular Cab Pickup,20,14,1851,21520
1359,Porsche,911,2016,premium unleaded (required),520,6,AUTOMATED_MANUAL,all wheel drive,2,"Luxury,High-Performance",Compact,Convertible,24,17,1715,163000
1362,Lexus,RX 400h,2006,regular unleaded,268,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury,Hybrid",Midsize,4dr SUV,25,27,454,46060
1363,Saab,9000,1997,regular unleaded,170,4,MANUAL,front wheel drive,4,"Hatchback,Luxury",Midsize,4dr Hatchback,26,18,376,2000
1366,Toyota,86,2017,premium unleaded (recommended),200,4,AUTOMATIC,rear wheel drive,2,Performance,Compact,Coupe,32,24,2031,26975
1367,Volkswagen,GLI,2012,premium unleaded (recommended),200,4,MANUAL,front wheel drive,4,Performance,Midsize,Sedan,33,22,873,26695
1369,Lamborghini,Aventador,2014,premium unleaded (required),720,12,AUTOMATED_MANUAL,all wheel drive,2,"Exotic,High-Performance",Midsize,Coupe,18,11,1158,497650
1370,Volkswagen,Golf Alltrack,2017,regular unleaded,170,4,AUTOMATED_MANUAL,all wheel drive,4,Crossover,Compact,Wagon,30,22,873,30530
1371,Pontiac,G6,2008,regular unleaded,252,6,AUTOMATIC,front wheel drive,4,Performance,Midsize,Sedan,26,17,210,26960
1372,Ford,Shelby GT350,2017,premium unleaded (recommended),526,8,MANUAL,rear wheel drive,2,"Factory Tuner,High-Performance",Midsize,Coupe,21,14,5657,54295
1374,Volvo,V60,2017,regular unleaded,240,4,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Midsize,Wagon,36,25,870,38100
1375,Dodge,Dakota,2009,regular unleaded,210,6,AUTOMATIC,four wheel drive,4,Flex Fuel,Compact,Extended Cab Pickup,18,14,1851,26810
1376,Honda,Pilot,2015,regular unleaded,250,6,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,25,18,2202,37370
1377,Chrysler,Crossfire,2008,premium unleaded (required),215,6,MANUAL,rear wheel drive,2,Performance,Compact,Convertible,23,15,1013,39130
1381,GMC,Acadia,2017,regular unleaded,194,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,26,21,549,38350
1382,Cadillac,SRX,2016,regular unleaded,308,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,24,17,1624,37605
1384,Mitsubishi,Expo,1993,regular unleaded,136,4,MANUAL,four wheel drive,4,Hatchback,Compact,4dr Hatchback,22,17,436,2000
1385,Porsche,Cayman,2016,premium unleaded (required),275,6,MANUAL,rear wheel drive,2,"Luxury,High-Performance",Compact,Coupe,30,20,1715,52600
1387,Audi,Q7,2017,premium unleaded (required),333,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury,Performance",Large,4dr SUV,25,19,3105,64300
1388,FIAT,500X,2016,regular unleaded,180,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,31,22,819,23335
1389,Lexus,ES 330,2006,regular unleaded,218,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,27,18,454,32300
1390,Mercedes-Benz,C-Class,2017,premium unleaded (required),241,4,AUTOMATIC,rear wheel drive,2,Luxury,Midsize,Coupe,30,23,617,42650
1391,GMC,Terrain,2017,regular unleaded,182,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,28,20,549,36025
1392,Ford,F-150,2017,flex-fuel (unleaded/E85),282,6,AUTOMATIC,four wheel drive,4,Flex Fuel,Large,Crew Cab Pickup,23,17,5657,36565
1393,Mercedes-Benz,SLS AMG,2012,premium unleaded (required),563,8,AUTOMATED_MANUAL,rear wheel drive,2,"Exotic,Factory Tuner,Luxury,High-Performance",Compact,Convertible,20,14,617,196100
1396,Mazda,Tribute,2011,regular unleaded,171,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,26,20,586,25495
1397,Honda,Fit,2017,regular unleaded,130,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,37,32,2202,18700
1398,GMC,Acadia,2015,regular unleaded,288,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,23,16,549,49690
